hazard,Aspect,HumanImpactIndexMean,LandCover,NDMI,NDVI,Precipitation,Slope,SoilMoist,TempMax,TempMin,WaterDeficit,WindSpeed,idx
0,46.391964,14.1,16,-0.053274542,0.11646876,0,0.04202291,0,384.5,228.5,1840.333333,290.0833333,2
0,226.39622,5.8,16,-0.06845114,0.12498093,1,0.04202619,0,380,241,1829,288,3
0,226.47113,2,16,-0.04590552,0.09870793,0,0.04208399,0,384.5,234.5,1908,298.5,4
0,270,482.85,16,-0.07561826,0.15172632,1,0.030317087,2,376,234,1756.5,270,5
0,295.39798,6.8,16,-0.043093644,0.10270382,0,0.13515425,0,388,233,1982,303,6
0,90,3.35,16,-0.06346652,0.10252002,0,0.030720431,0,401,223.5,2243.333333,329.6428571,7
0,0,1.5,16,-0.06145423,0.11372049,0,0,0,391,234,2045.666667,310.4,8
0,270,4.55,16,-0.060276996,0.11494727,0,0.030586224,0,395.5,226.5,2059,308.3333333,9
0,198.03029,92,16,-0.081683524,0.14272313,1,0.21336544,0,329.1666667,158.5,2213,449,0
0,314.02448,57.4,16,-0.088890575,0.14013432,1,0.45875403,0,336.6666667,160.5,2344.5,457.5,1
0,108.876335,879.75,7,-0.023821231,0.10293431,5,3.5788572,2,310.6666667,139,1914.5,416,2
0,322.68402,222.15,7,-0.11722997,0.10224566,1,0.32799268,0,326.5,170,2079.25,440.25,3
0,93.86936,1072.95,16,-0.09835115,0.086415604,3.5,2.5753217,2,308,150,1950,453,4
0,258.9483,726.4,7,-0.13689372,0.091163106,3,1.0582741,0,321.4583333,152.5,2077.5,429.5,5
0,208.86343,32.3,16,-0.09848178,0.02427502,1,0.8273287,0,340.25,171.5,2269,431.1666667,6
0,106.747154,716.4,7,-0.14831871,0.07400674,4,1.9104495,2,300,152,1855.333333,451.5,7
0,150.16975,1637.2,16,-0.12975389,0.094939835,4,11.021277,2,318,152.5,1951.5,410,8
0,227.7312,152.7,7,-0.09842831,0.09149267,6,3.5720012,2,298,129.5,1856.5,450,9
0,120.61687,275.85,16,-0.113055214,0.10646047,0.130434783,0.28454888,2,374.5,229,2171,354,0
0,270,103.25,16,-0.12245659,0.12149649,0,0.12384846,0,379.5,230,2480.75,400,1
0,129.70387,653.4,16,-0.10865932,0.12933704,0.148148148,0.31759593,0,380,237,2051.5,340,2
0,145.41962,59.9,16,-0.121864215,0.123390526,0.14159292,0.598437,0,367.5,200,2254.5,390.25,3
0,196.74327,369.9,16,-0.1080237,0.12824424,2.423076923,0.2118699,0,381,237.5,2099.5,340.25,4
0,151.96216,68.45,16,-0.10442623,0.11022947,0.100917431,0.32837695,0,366,200.5,2251,391.5,5
0,111.49018,68.5,16,-0.09756719,0.11497409,0.138297872,0.39558187,2,373.5,224,2150,357.25,6
0,0,97.5,16,-0.100028545,0.13939382,0.119565217,0,1,388,242,2200,340,7
0,96.73261,337.8,16,-0.10230776,0.12324084,0.111111111,0.7416439,1,377,227.5,2224.75,369.3055556,8
0,244.80583,121.4,16,-0.10408358,0.124477275,0.146067416,0.27234903,0,369,206.5,2259.25,390,9
0,0,8.4,16,-0.11717658,0.13321684,0,0.057968166,0,337.5,173.25,2202,429.6,0
0,321.83698,2.05,16,-0.103258,0.12285561,0,0.47921348,0,334.4,170,2206.5,427.5,1
0,335.4679,228.75,16,-0.11562642,0.12302913,0,0.3185982,0,340.2,169,2210.5,421.25,2
0,34.298683,577.05,16,-0.09593985,0.113419056,0,0.17542432,0,339.25,174,2236,427.25,3
0,316.298,87.3,16,-0.09618035,0.12323874,0,0.24054934,0,338.5,173,2199,427.75,4
0,283.8889,5.2,16,-0.087586954,0.12468049,0,0.24149272,0,336.3333333,171,2184.5,420,5
0,176.52266,3.3,16,-0.10405876,0.12282455,0,0.5516965,0,344.5,176.25,2191,410.125,6
